Var1,Cancer_overleap_1,Cancer_overleap_2,Cancer_overleap_3,Cancer_overleap_4,Cancer_overleap_5,Cancer_overleap_6,Cancer_overleap_7,Cancer_overleap_8,Cancer_overleap_9,Cancer_overleap_10
ACC,0.157319358547349,0.150830764226453,0.553520572771077,0.25516119613846,0.424086785372835,0.743823966751612,0.213849817901844,0.319928379747845,0.0835900702878076,0.165911701533747
ESCA,0.0984382856046205,0.104993166291912,0.475762220856396,0.171676958437457,0.332782945669925,0.690716570623125,0.139973551557371,0.264484314143423,0.0476592233482655,0.115628336067868
HNSC,0.0763447046725938,0.102614035016283,0.433610226119291,0.151496751774415,0.31752360712577,0.687559717485899,0.125187490773621,0.218638754299114,0.0323430302008702,0.112905539298505
KICH,0.157319358547349,0.150830764226453,0.553520572771077,0.25516119613846,0.424086785372835,0.743823966751612,0.213849817901844,0.319928379747845,0.0835900702878076,0.165911701533747
KIRC,0.00272585451692305,0.0146206220974817,0.118187096912681,0.00760711533590463,0.143840584867012,0.226480771302999,0.00729457279572881,0.0276938643537591,0.000890793853336572,0.0172176168819577
KIRP,0.00993859399928917,0.030764429697553,0.206279994263553,0.0236844703799774,0.18778579281157,0.385350407302762,0.0240646869312833,0.0643088902206689,0.00352934770910672,0.0333283856518631
LAML,0.0225648745482869,0.0604644409307581,0.251120545405528,0.0476782611207277,0.27945029963897,0.39413412248925,0.0460531724698497,0.0938227301375476,0.00939346926424754,0.0658885292827463
LGG,0.176975898517208,0.191580649411154,0.561646256870467,0.293241865208936,0.494191511408367,0.788156101778749,0.248021139139754,0.349102367556012,0.0928326584507442,0.206867879168407
LUAD,0.00151605995058051,0.0127449665823641,0.0818859132564435,0.00558643004637848,0.154963611672462,0.216141934800367,0.0047984417214094,0.0179591280053619,0.00062848820545668,0.0154087574630156
LUSC,0.0873296769515265,0.0995071998002505,0.381561071462274,0.138813027592863,0.363150736081752,0.579324072630618,0.117627373633675,0.208095962660382,0.0531081698857584,0.109299593303831
PCPG,0.0646332033179323,0.0887323328969532,0.402855375317872,0.120560841632812,0.330125506365432,0.605385190868188,0.101437936464283,0.188650178655339,0.0283414855560173,0.096961502325328
SKCM,0.00961135688124913,0.0374136667758082,0.193781243885608,0.0243720713041011,0.231805538401735,0.346348236517992,0.0235976591720682,0.0673032469639626,0.00366675594217112,0.0406114529106332
STAD,0.00351440195875825,0.010622230770863,0.114941829639197,0.00922337853245236,0.155112403257448,0.262309306099445,0.00960999876342604,0.0326584511133302,0.0013024657649937,0.0133873894223731
THCA,0.00151605995058051,0.0127449665823641,0.0818859132564435,0.00558643004637848,0.154963611672462,0.216141934800367,0.0047984417214094,0.0179591280053619,0.00062848820545668,0.0154087574630156
UVM,0.0134358908480998,0.0431676924095604,0.226791839701044,0.0343789882329428,0.227071550119019,0.415169285204713,0.0329094763423918,0.0775564306026201,0.00463987211423997,0.0470313635819573
