Var1,Cancer_Time_diference_1,Cancer_Time_diference_2,Cancer_Time_diference_3,Cancer_Time_diference_4,Cancer_Time_diference_5,Cancer_Time_diference_6,Cancer_Time_diference_7,Cancer_Time_diference_8,Cancer_Time_diference_9,Cancer_Time_diference_10
ACC,3.452,2.954,2.954,3.4,3.35,3.022,3.674,3.328,3.278,3.044
ESCA,3.41,2.982,3.072,3.396,3.246,3.252,3.608,3.368,3.24,3.058
HNSC,3.356,2.982,3.046,3.366,3.204,3.254,3.582,3.278,3.17,3.058
KICH,3.452,2.954,2.954,3.4,3.35,3.022,3.674,3.328,3.278,3.044
KIRC,3.29,3.126,3.262,3.33,3.26,3.412,3.44,3.274,3.158,3.172
KIRP,3.316,3.096,3.268,3.348,3.256,3.478,3.48,3.286,3.162,3.148
LAML,3.304,3.084,3.182,3.33,3.328,3.35,3.484,3.242,3.172,3.138
LGG,3.438,2.938,2.84,3.382,3.384,2.806,3.688,3.284,3.244,3.042
LUAD,3.26,3.132,3.204,3.326,3.338,3.414,3.422,3.226,3.16,3.178
LUSC,3.408,3.01,3.124,3.37,3.376,3.318,3.586,3.298,3.302,3.082
PCPG,3.372,3.028,3.128,3.368,3.332,3.378,3.568,3.306,3.208,3.092
SKCM,3.27,3.082,3.196,3.322,3.3,3.376,3.45,3.252,3.134,3.128
STAD,3.316,3.088,3.258,3.35,3.328,3.46,3.464,3.298,3.202,3.128
THCA,3.26,3.132,3.204,3.326,3.338,3.414,3.422,3.226,3.16,3.178
UVM,3.276,3.066,3.19,3.332,3.244,3.404,3.466,3.242,3.12,3.118
