,Evading Apoptosis,Evading Immune Detection,Genome Instability and Mutation,Insensitivity to Antigrowth Signals,Limitless Replicative Potential,Reprogramming Energy Metabolism,Self Sufficiency in Growth Signals,Sustained Angiogenesis,Tissue Invasion and Metastasis,Tumor Promoting Inflammation
Evading Apoptosis,46569.288312397206,24571.662351454375,9561.223715916001,118281.16288615145,3907.4914818858033,6542.476347500344,112544.62367008586,20481.924666586274,58240.84768146902,24571.662351454375
Evading Immune Detection,48551.49192728764,26773.29026344041,9392.197195630692,126187.24307292051,4315.649660098765,6490.937567507552,119347.61802607245,20775.53888477957,61998.57496760362,26773.29026344041
Genome Instability and Mutation,46320.88211397489,24146.13259961482,9935.805751500346,119127.83103056718,3970.707464394023,6214.393281499864,112873.60682236405,20936.43220395065,61314.46244688584,24146.13259961482
Insensitivity to Antigrowth Signals,265289.74231864023,139596.97267873352,53635.43031499079,676510.7562094695,21582.46197119649,36441.32359918157,644487.1222410793,117517.8170833509,335045.91655847634,139596.97267873352
Limitless Replicative Potential,3847.248937790972,1870.3675814285568,881.9234450830348,9396.99607668097,356.99420348923155,530.6332725284368,8966.65556019969,1651.4749676370106,4804.026390716012,1870.3675814285568
Reprogramming Energy Metabolism,6338.81197599079,3401.4091446427383,1375.6353735497662,16301.104973746926,570.5370782245611,884.374058919977,15424.2478954761,2901.546472529207,7675.565417058392,3401.4091446427383
Self Sufficiency in Growth Signals,258744.78098090936,136324.59711385082,52191.089428096995,661198.4418356773,21033.60099661393,35295.287758354476,629641.1182475772,114620.99676187316,328045.0335423433,136324.59711385082
Sustained Angiogenesis,18545.524328118045,9777.167545731532,3700.6036138629106,47273.34503479897,1578.585932476297,2592.032219755201,44922.72052489934,8268.158051566432,22987.381919086645,9777.167545731532
Tissue Invasion and Metastasis,114345.26139850784,60300.84291487398,22615.361897924042,292237.4127040501,9413.426384094806,15685.718691357808,278404.89370975806,50159.652507574196,144706.0427867278,60300.84291487398
Tumor Promoting Inflammation,48568.40912679177,26774.152035839372,9393.13421148628,126208.64741017399,4316.026396823419,6491.527494103917,119368.3482623256,20776.213665520852,61999.84459686428,26774.152035839372
