,Evading Apoptosis,Evading Immune Detection,Genome Instability and Mutation,Insensitivity to Antigrowth Signals,Limitless Replicative Potential,Reprogramming Energy Metabolism,Self Sufficiency in Growth Signals,Sustained Angiogenesis,Tissue Invasion and Metastasis,Tumor Promoting Inflammation
Evading Apoptosis,29919.432397500997,15558.185925959999,7042.449535457999,84840.1906619617,2398.77764094,5252.49916898,79608.3010384017,14365.95622442,34995.1848824247,15558.185925959999
Evading Immune Detection,30822.54898199,15435.679557597701,7015.06505028,86789.68797388871,2453.6922394,5078.330426365001,81459.6411354937,14151.69053932,36098.83294348999,15435.679557597701
Genome Instability and Mutation,27063.845696872,13712.085965184,6544.6150638488,76253.77625963,2260.35666162,4568.137982761999,71517.07633179,12659.290526069,32109.714091399,13712.085965184
Insensitivity to Antigrowth Signals,166362.96380505728,84240.3523083934,38707.279867451005,470819.1884380125,13776.116162083,29004.8403776816,442409.5045892335,78791.8152485148,195860.0916400121,84240.3523083934
Limitless Replicative Potential,2083.12531834,1089.96543294,508.7235220999999,6072.366687390001,165.7515858,313.68775589999996,5715.204448740001,1036.081332,2605.11597041,1089.96543294
Reprogramming Energy Metabolism,4306.74001648,2182.0774540000007,1122.46303285,11778.976809968,300.65290464,757.0814562200001,11206.435906268,1922.5645862500003,4754.441102064001,2182.0774540000007
Self Sufficiency in Growth Signals,162812.9268314063,82829.1488812404,37802.226315611,460772.8351118625,13481.218957313002,28368.2204511846,432917.2046209645,76775.3269034608,191447.11419971508,82829.1488812404
Sustained Angiogenesis,11828.9558805254,5945.7798727244,2778.73506575,33092.466929282,1038.44010318,2068.4879166676,31219.9273417976,5672.0926359544,13611.5829510554,5945.7798727244
Tissue Invasion and Metastasis,71104.24549893421,36863.5244165741,17023.1060201,202339.3815768227,5952.043827920001,12471.9783037376,190228.2469877482,34143.543111713,84275.6886501288,36863.5244165741
Tumor Promoting Inflammation,30844.98727069,15464.2790785977,7022.681880280001,86889.3336548887,2454.3831394,5078.987926365,81551.5938011937,14152.88938732,36145.59524849,15464.2790785977
